SWV ITM Data Console - ITM Port: 0
-1045.469238
X: 5.030303, Y: 167.786407, Z: -1040.204102
X: 3.212122, Y: 169.067963, Z: -1037.265259
X: 4.424242, Y: 170.815521, Z: -1041.551025
X: 2.363637, Y: 172.679596, Z: -1042.408081
X: -1.272727, Y: 164.291245, Z: -1037.020386
X: 4.909091, Y: 170.349503, Z: -1038.857178
X: 6.363637, Y: 169.300964, Z: -1038.734619
X: 1.030303, Y: 166.504852, Z: -1044.612305
X: 3.939394, Y: 169.184464, Z: -1040.571289
X: 1.393940, Y: 170.582520, Z: -1036.653076
X: -2.121212, Y: 171.281555, Z: -1039.836670
X: -6.606060, Y: 170.233002, Z: -1038.734619
X: -3.454544, Y: 164.990280, Z: -1041.551025
X: 4.666667, Y: 168.252411, Z: -1041.551025
X: 1.272728, Y: 169.650482, Z: -1037.387695
X: -0.181818, Y: 173.495148, Z: -1042.040771
X: 2.969697, Y: 172.446594, Z: -1039.469360
X: 1.636364, Y: 169.067963, Z: -1038.612305
X: 2.242425, Y: 164.524261, Z: -1038.734619
X: 1.393940, Y: 165.456314, Z: -1040.204102
X: 1.878788, Y: 171.980576, Z: -1039.224365
X: -0.545454, Y: 173.378632, Z: -1037.387695
X: 3.696970, Y: 175.126205, Z: -1037.632568
X: 6.000000, Y: 174.194168, Z: -1039.836670
X: 3.818182, Y: 172.097076, Z: -1040.693848
X: 4.060606, Y: 161.961151, Z: -1042.285645
