SWV ITM Data Console - ITM Port: 0
X: 48.909088, Y: -61.029121, Z: 937.469360
X: 48.666664, Y: -60.679607, Z: 937.836731
X: 45.757572, Y: -60.679607, Z: 938.326477
X: 45.151512, Y: -58.815533, Z: 937.591797
X: 48.787876, Y: -63.825241, Z: 937.469360
X: 45.878788, Y: -61.262135, Z: 937.591797
X: 47.696968, Y: -59.048542, Z: 939.061157
X: 48.060604, Y: -58.932037, Z: 941.999939
X: 48.181816, Y: -61.495144, Z: 937.836731
X: 48.424240, Y: -62.310677, Z: 937.101990
X: 49.151512, Y: -62.660191, Z: 938.571411
X: 48.666664, Y: -58.116501, Z: 939.795898
X: 47.575756, Y: -60.679607, Z: 939.061157
X: 50.606060, Y: -62.310677, Z: 937.714233
X: 45.272724, Y: -59.980583, Z: 939.183594
X: 48.545452, Y: -61.145630, Z: 937.224426
X: 48.060604, Y: -63.359222, Z: 938.326477
X: 49.393936, Y: -59.864079, Z: 938.938721
X: 47.575756, Y: -60.446602, Z: 938.204041
X: 48.787876, Y: -59.864079, Z: 939.428589
X: 49.030300, Y: -59.631065, Z: 940.163208
X: 51.090908, Y: -62.194172, Z: 937.714233
X: 47.454540, Y: -58.582520, Z: 938.448975
X: 51.212120, Y: -61.029121, Z: 941.999939
X: 48.666664, Y: -60.912621, Z: 938.204041
X: 48.424240, Y: -61.961166, Z: 937.714233
X: 49.030300, Y: -59.048542, Z: 936.734680
X: 49.272724, Y: -61.728153, Z: 940.897949
X: 48.424240, Y: -63.592228, Z: 937.469360
X: 47.454540, Y: -59.514561, Z: 938.081604
X: 47.696968, Y: -63.242718, Z: 938.693848
X: 51.818176, Y: -60.213589, Z: 939.061157
X: 46.606056, Y: -59.165047, Z: 938.081604
X: 50.969692, Y: -60.446602, Z: 937.836731
X: 49.030300, Y: -62.660191, Z: 940.163208
X: 47.454540, Y: -61.495144, Z: 936.612244
X: 50.606060, Y: -59.747570, Z: 937.959167
X: 47.454540, Y: -61.145630, Z: 938.571411
X: 50.242424, Y: -63.592228, Z: 938.816284
X: 49.030300, Y: -61.728153, Z: 935.755066
