SWV ITM Data Console - ITM Port: 0
X: 1004.787781, Y: -528.330078, Z: 65.387749
X: 965.515076, Y: -284.601929, Z: 96.122452
X: 972.787781, Y: -248.485428, Z: 29.265305
X: 651.818115, Y: -50.310680, Z: 117.428558
X: 413.757568, Y: 10.504852, Z: 202.408173
X: -36.424240, Y: 76.563103, Z: 215.632660
X: -201.999985, Y: 85.533981, Z: 185.142838
X: -263.939362, Y: 21.223301, Z: 74.081619
X: -117.151505, Y: -199.786407, Z: 26.693878
X: 48.787876, Y: -360.213593, Z: 241.591827
X: 450.727234, Y: -689.223267, Z: -78.244896
X: 759.818176, Y: -880.757263, Z: 56.816322
X: 1232.302979, Y: -734.194153, Z: 292.897949
X: 1243.818115, Y: -1172.601929, Z: -242.204071
X: 1310.848389, Y: -1105.145630, Z: -97.224487
X: 1301.515015, Y: -1003.436890, Z: -158.326538
X: 1268.908936, Y: -1234.465942, Z: -321.795898
X: 1329.757446, Y: -1007.164978, Z: 154.163254
X: 1216.666626, Y: -899.747559, Z: 50.081627
X: 788.060547, Y: -1184.601929, Z: -151.836731
X: 543.090881, Y: -979.320312, Z: 109.346924
X: 643.696899, Y: -920.834900, Z: 89.142853
X: 527.575684, Y: -951.009705, Z: -205.224487
X: 344.909058, Y: -764.951416, Z: -244.530609
X: 506.242401, Y: -744.912598, Z: -114.979584
X: 572.424194, Y: -772.873779, Z: -42.734695
X: 622.969604, Y: -878.660156, Z: -133.591827
X: 714.848450, Y: -1053.883423, Z: -340.408142
X: 722.848450, Y: -1281.999878, Z: -279.795898
X: 664.424194, Y: -1132.407715, Z: 21.183670
X: 741.151428, Y: -1052.019409, Z: 107.755096
X: 1002.363586, Y: -1341.184448, Z: -175.102036
X: 1096.666504, Y: -1246.232910, Z: -124.775513
X: 999.090820, Y: -1114.582520, Z: -24.122448
X: 1052.545410, Y: -849.766968, Z: 25.959183
X: 1159.454468, Y: -684.330078, Z: 15.795914
X: 1192.181763, Y: -489.067963, Z: 47.387749
X: 1158.848389, Y: -364.873779, Z: 78.857147
X: 745.999939, Y: -188.135910, Z: 183.673462
X: 418.606018, Y: -108.563103, Z: 157.346939
X: 20.424242, Y: 18.660192, Z: 167.510193
X: -33.151512, Y: 111.514557, Z: 253.469360
X: -66.363632, Y: -13.029126, Z: 20.938774
X: -103.939384, Y: -105.883492, Z: 17.999992
X: 36.181816, Y: -238.349503, Z: 103.591827
X: 342.727264, Y: -439.320374, Z: 54.122444
X: 489.636322, Y: -823.087341, Z: 93.551010
X: 920.545410, Y: -618.388367, Z: 456.979553
X: 1563.454346, Y: -868.990295, Z: 91.591827
X: 1185.636353, Y: -1246.000000, Z: -22.775513
X: 1277.151489, Y: -1017.184448, Z: 374.693878
X: 1371.575684, Y: -1027.087402, Z: 84.612244
X: 1251.939331, Y: -989.456238, Z: -40.040817
X: 1120.666504, Y: -1142.310669, Z: 25.469383
X: 895.090881, Y: -933.533936, Z: 110.693878
X: 811.212097, Y: -792.563049, Z: 67.836731
X: 585.151428, Y: -774.155273, Z: -36.857143
X: 478.969666, Y: -783.009705, Z: -39.795921
X: 629.393921, Y: -771.009644, Z: 116.816330
X: 855.939331, Y: -613.145630, Z: 308.081635
X: 881.636292, Y: -945.766968, Z: -35.265305
X: 897.393860, Y: -1037.456299, Z: -87.551018
X: 1017.999939, Y: -1042.232910, Z: 162.489792
X: 1061.878662, Y: -1229.456177, Z: 61.959183
X: 1033.878662, Y: -1261.611572, Z: -109.836731
X: 1087.575684, Y: -1184.135864, Z: -3.551022
X: 1117.151367, Y: -1102.116455, Z: -50.081635
X: 1117.878662, Y: -876.330078, Z: -61.469387
X: 1163.696899, Y: -709.495117, Z: 0.122448
X: 1068.181763, Y: -542.660217, Z: -48.244900
X: 994.121155, Y: -311.281555, Z: -134.571426
X: 748.302979, Y: -166.466019, Z: -21.673473
X: 517.151489, Y: -30.621359, Z: 150.367340
X: 203.696960, Y: 86.233002, Z: 222.734680
X: 50.606060, Y: 102.543686, Z: 188.081619
X: -14.969694, Y: 20.174757, Z: 99.183670
X: -35.454544, Y: -115.203880, Z: -44.326530
X: 8.787879, Y: -267.708740, Z: 18.612244
X: 214.606049, Y: -571.203857, Z: -25.714287
X: 407.939362, Y: -863.398071, Z: 95.265305
X: 920.181702, Y: -689.572754, Z: 321.183655
X: 1357.272583, Y: -1024.990234, Z: 83.755096
