SWV ITM Data Console - ITM Port: 0
X: 1285.030273, Y: -983.631042, Z: -5.510208
X: 1441.757446, Y: -1024.524170, Z: 53.632652
X: 1332.181763, Y: -904.407715, Z: 47.510201
X: 1297.878784, Y: -719.631042, Z: -4.653065
X: 1323.090820, Y: -605.223267, Z: -73.224487
X: 1067.454468, Y: -393.533966, Z: -58.163265
X: 975.939331, Y: -233.922333, Z: 4.285713
X: 699.212097, Y: -93.417473, Z: -46.897957
X: 350.969666, Y: 65.378639, Z: -62.204082
X: -68.060600, Y: 174.543686, Z: 167.387756
X: -753.030212, Y: 370.970856, Z: 358.040802
X: -962.484741, Y: 360.368896, Z: 229.836731
X: -603.575745, Y: 294.310669, Z: 442.897949
X: -383.696930, Y: -7.320388, Z: 193.346939
X: 77.515144, Y: -119.398056, Z: 63.306114
X: 999.696899, Y: -375.242706, Z: 120.979584
X: 1092.908936, Y: -689.572754, Z: -292.530579
X: 850.727234, Y: -913.378601, Z: 109.591827
X: 1125.999878, Y: -1200.329956, Z: -77.510208
X: 1571.939209, Y: -1071.941650, Z: -698.081604
X: 1549.515015, Y: -876.563110, Z: 32.204079
X: 1117.393799, Y: -957.184448, Z: -204.612244
X: 795.818115, Y: -818.427185, Z: 121.836731
X: 988.545349, Y: -755.980530, Z: 140.081635
X: 1232.787720, Y: -746.077637, Z: 21.183670
X: 1329.515015, Y: -820.524231, Z: -31.591837
X: 1184.787720, Y: -812.485413, Z: -31.346939
X: 1279.575684, Y: -890.427124, Z: 106.285706
X: 1153.636230, Y: -865.961121, Z: 7.469383
X: 1278.242310, Y: -980.485413, Z: -66.489792
X: 1324.787842, Y: -1038.970825, Z: 37.102036
X: 1096.181763, Y: -886.815491, Z: -39.673470
X: 1354.484741, Y: -926.194153, Z: -108.979591
X: 1203.212036, Y: -744.912598, Z: -26.693878
X: 1154.363525, Y: -537.766968, Z: -80.204079
X: 1138.363525, Y: -385.029114, Z: -77.142853
X: 1072.060547, Y: -244.291245, Z: -13.591839
X: 872.424194, Y: -97.378639, Z: -68.448982
X: 712.424194, Y: 27.048542, Z: -49.224491
X: 410.606049, Y: 152.524261, Z: -21.306126
X: -104.666656, Y: 336.718445, Z: 67.836731
X: -587.818115, Y: 407.902924, Z: 72.489792
X: -808.060547, Y: 425.378632, Z: 183.673462
X: -780.787842, Y: 316.446594, Z: 285.306122
X: -449.636322, Y: 80.407761, Z: 53.755096
X: 149.515137, Y: -133.495148, Z: -82.040817
X: 566.363586, Y: -494.660156, Z: 200.081635
X: 1433.151367, Y: -308.019409, Z: -153.183670
X: 1288.545410, Y: -675.825195, Z: -9.673470
X: 838.606018, Y: -999.126160, Z: -124.775513
X: 1115.818115, Y: -854.893188, Z: -178.408173
X: 1238.121094, Y: -970.815491, Z: 247.836731
X: 1417.393799, Y: -896.368896, Z: -12.367348
X: 1266.363525, Y: -1027.087402, Z: -356.816315
X: 787.696899, Y: -1015.436829, Z: -405.061218
X: 909.515076, Y: -869.106812, Z: -60.489796
X: 1148.181641, Y: -589.844666, Z: 189.306107
X: 1399.696777, Y: -619.786377, Z: 133.224487
X: 1352.060547, Y: -810.621277, Z: -37.714287
X: 1274.242310, Y: -835.320312, Z: -18.612247
X: 1231.696899, Y: -899.281494, Z: -146.081635
X: 1249.999878, Y: -967.553345, Z: -85.714287
X: 1155.333252, Y: -946.466003, Z: -70.653061
X: 1159.212036, Y: -970.931946, Z: -183.918365
X: 1377.757446, Y: -1023.475708, Z: -231.918365
X: 1249.030273, Y: -832.524231, Z: -132.244904
X: 1222.605957, Y: -696.679565, Z: -273.183655
X: 1030.484741, Y: -438.621338, Z: -192.367340
X: 999.575684, Y: -276.330109, Z: -182.204071
X: 729.151428, Y: -185.572815, Z: -149.020416
X: 152.303009, Y: -41.689320, Z: -4.163269
X: -374.000000, Y: 192.951447, Z: 191.877548
X: -858.606018, Y: 439.592224, Z: 476.816345
X: -691.575745, Y: 499.009674, Z: 247.591827
X: -284.424194, Y: 471.631042, Z: 250.897949
X: -52.181812, Y: 334.155304, Z: 269.510193
X: 157.393936, Y: 188.291245, Z: 296.938751
X: 1010.605957, Y: -60.679607, Z: -136.653046
X: 689.151489, Y: -663.126160, Z: -52.897961
X: 754.848389, Y: -688.640747, Z: -390.979584
X: 1185.393921, Y: -883.786377, Z: -78.489792
X: 1073.878784, Y: -916.291260, Z: 357.428558
X: 1210.969604, Y: -976.757202, Z: 13.102043
X: 1064.060547, Y: -1027.553345, Z: -36.489799
X: 1074.727173, Y: -942.388306, Z: -46.285713
X: 1170.000000, Y: -807.708679, Z: -61.469387
X: 1366.242310, Y: -666.621338, Z: -66.857140
X: 1520.060547, Y: -516.679565, Z: 71.142853
X: 1775.454346, Y: -533.223267, Z: 152.693878
X: 1839.211914, Y: -755.747559, Z: -28.163267
X: 1468.181763, Y: -850.116516, Z: 80.204071
X: 1217.030151, Y: -887.631042, Z: 54.000000
X: 1249.272705, Y: -967.669861, Z: -69.061226
X: 1349.393921, Y: -1069.728149, Z: -57.183674
X: 1393.151367, Y: -1020.330078, Z: -8.448978
X: 1297.030151, Y: -854.660156, Z: -30.244898
X: 1292.181763, Y: -714.388306, Z: -101.755096
X: 1107.696899, Y: -448.291260, Z: -174.979584
X: 1097.272705, Y: -317.805786, Z: -146.204071
X: 725.878723, Y: -186.388336, Z: -59.877552
X: 63.939388, Y: -26.893204, Z: 239.020416
X: -570.484802, Y: 245.961151, Z: 204.734680
X: -897.393921, Y: 319.592224, Z: 112.408157
X: -764.424194, Y: 330.776703, Z: 307.469391
X: -579.818115, Y: 174.077652, Z: 114.244888
X: -259.696960, Y: 6.310678, Z: -125.755096
X: 316.060577, Y: -268.407776, Z: 371.999969
X: 1073.272705, Y: -345.650482, Z: -205.591827
X: 1441.151367, Y: -519.242676, Z: -254.693878
X: 934.484802, Y: -907.669861, Z: 316.530609
X: 978.363586, Y: -1114.465942, Z: -222.000000
X: 1282.605957, Y: -1023.708740, Z: 103.591827
X: 1274.363525, Y: -1037.922363, Z: 188.448975
X: 1195.939331, Y: -988.524292, Z: -218.081635
X: 1169.636230, Y: -1068.912598, Z: -262.040833
X: 1130.363647, Y: -792.796082, Z: -109.836731
X: 1269.030151, Y: -617.106812, Z: 10.897957
X: 1462.727173, Y: -560.601929, Z: 177.428558
X: 1497.030151, Y: -676.640808, Z: 91.591827
X: 1325.515015, Y: -881.922302, Z: -41.020409
X: 1125.272705, Y: -957.067932, Z: -60.244900
X: 1129.272583, Y: -953.572815, Z: -107.265305
X: 1222.969604, Y: -1069.961182, Z: -113.142853
X: 1177.999878, Y: -972.796082, Z: -1.836735
X: 1179.818115, Y: -911.747559, Z: -63.918365
X: 1250.121094, Y: -880.407715, Z: -82.653061
X: 1174.848389, Y: -672.446594, Z: -63.795918
X: 1185.515137, Y: -492.097076, Z: -211.224487
X: 954.484802, Y: -218.077652, Z: -67.224487
X: 794.606018, Y: -33.533981, Z: -32.693878
